benchmark,sequence,condition,degradation,severity,seed,baseline_auc,hpc_rgssb_auc,auc_change,baseline_mean_iou,hpc_rgssb_mean_iou,mean_iou_change,baseline_precision_20,hpc_precision_20,precision_20_change,baseline_center_error,hpc_center_error,center_error_change,best_model,outcome,note
UAV123,uav_person14_1,gaussian_noise_medium,gaussian_noise,medium,42,0.434451,0.455177,+0.020726,nan,nan,nan,0.547816,0.583235,+0.035419,nan,nan,nan,hpc_rgssb,gain,RG-SSB improves AUC
UAV123,uav_truck2,clean,clean,none,0,0.812267,0.798637,-0.013630,0.815689,0.801399,-0.014290,1.000000,1.000000,+0.000000,2.152421,2.359475,+0.207054,baseline,neutral,near neutral by AUC
UAV123,uav_truck2,motion_blur_medium,motion_blur,medium,42,0.277459,0.656989,+0.379530,0.272464,0.658394,+0.385930,0.441558,0.979221,+0.537663,160.779648,4.231960,-156.547688,hpc_rgssb,gain,RG-SSB improves AUC
UAV123,uav_truck2,low_resolution_medium,low_resolution,medium,42,0.795217,0.776443,-0.018774,0.797994,0.778962,-0.019032,1.000000,1.000000,+0.000000,2.419891,2.649994,+0.230103,baseline,neutral,near neutral by AUC
UAV123,uav_truck2,gaussian_noise_medium,gaussian_noise,medium,42,0.777215,0.759007,-0.018208,0.779794,0.761418,-0.018376,1.000000,1.000000,+0.000000,2.585998,2.717353,+0.131355,baseline,neutral,near neutral by AUC
UAV123,uav_bike2,clean,clean,none,0,0.109681,0.111525,+0.001844,nan,nan,nan,0.198915,0.198915,+0.000000,nan,nan,nan,hpc_rgssb,neutral,near neutral by AUC
UAV123,uav_bike2,motion_blur_medium,motion_blur,medium,42,0.044725,0.074177,+0.029452,nan,nan,nan,0.103074,0.180832,+0.077758,nan,nan,nan,hpc_rgssb,gain,RG-SSB improves AUC
UAV123,uav_bike2,low_resolution_medium,low_resolution,medium,42,0.102680,0.102125,-0.000555,nan,nan,nan,0.197107,0.200723,+0.003616,nan,nan,nan,baseline,neutral,near neutral by AUC
UAV123,uav_bike2,gaussian_noise_medium,gaussian_noise,medium,42,0.077185,0.090989,+0.013804,nan,nan,nan,0.220615,0.220615,+0.000000,nan,nan,nan,hpc_rgssb,neutral,near neutral by AUC
UAV123,uav_wakeboard1,clean,clean,none,0,0.829120,0.812845,-0.016275,0.832233,0.815742,-0.016491,1.000000,1.000000,+0.000000,4.294295,4.577796,+0.283501,baseline,neutral,near neutral by AUC
UAV123,uav_wakeboard1,motion_blur_medium,motion_blur,medium,42,0.735190,0.773735,+0.038545,0.737331,0.776531,+0.039200,0.900238,1.000000,+0.099762,9.813875,5.390363,-4.423512,hpc_rgssb,gain,RG-SSB improves AUC
UAV123,uav_wakeboard1,low_resolution_medium,low_resolution,medium,42,0.835023,0.816749,-0.018274,0.838296,0.819800,-0.018496,1.000000,1.000000,+0.000000,4.195702,4.436891,+0.241189,baseline,neutral,near neutral by AUC
UAV123,uav_wakeboard1,gaussian_noise_medium,gaussian_noise,medium,42,0.824275,0.809694,-0.014581,0.827476,0.812813,-0.014663,1.000000,1.000000,+0.000000,4.396752,4.646383,+0.249631,baseline,neutral,near neutral by AUC
NFS,nfs_Gymnastics,clean,clean,none,0,0.452890,0.470405,+0.017515,0.450818,0.468309,+0.017491,0.584239,0.608696,+0.024457,97.004085,94.843526,-2.160559,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_Gymnastics,motion_blur_medium,motion_blur,medium,42,0.438872,0.456845,+0.017973,0.436761,0.454865,+0.018104,0.543478,0.573370,+0.029892,98.807078,96.673861,-2.133217,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_Gymnastics,low_resolution_medium,low_resolution,medium,42,0.439706,0.243946,-0.195760,0.437494,0.238543,-0.198951,0.567935,0.315217,-0.252718,98.039800,169.046959,+71.007159,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_Gymnastics,gaussian_noise_medium,gaussian_noise,medium,42,0.457356,0.289954,-0.167402,0.455237,0.284842,-0.170395,0.586957,0.364130,-0.222827,96.941718,164.628917,+67.687199,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_basketball_player,clean,clean,none,0,0.754139,0.746733,-0.007406,0.756384,0.749379,-0.007005,0.981030,0.972900,-0.008130,5.867569,6.077729,+0.210160,baseline,neutral,near neutral by AUC
NFS,nfs_basketball_player,motion_blur_medium,motion_blur,medium,42,0.722450,0.723282,+0.000832,0.724772,0.725518,+0.000746,0.953930,0.940379,-0.013551,6.928502,7.493557,+0.565055,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_basketball_player,low_resolution_medium,low_resolution,medium,42,0.754568,0.747377,-0.007191,0.757309,0.749541,-0.007768,0.981030,0.978320,-0.002710,5.871871,5.986210,+0.114339,baseline,neutral,near neutral by AUC
NFS,nfs_basketball_player,gaussian_noise_medium,gaussian_noise,medium,42,0.754112,0.729534,-0.024578,0.756502,0.731773,-0.024729,0.983740,0.953930,-0.029810,6.042841,7.180909,+1.138068,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_car,clean,clean,none,0,0.407308,0.407514,+0.000206,0.404475,0.404619,+0.000144,0.484158,0.482178,-0.001980,63.982927,64.336340,+0.353413,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_car,motion_blur_medium,motion_blur,medium,42,0.769581,0.764582,-0.004999,0.772271,0.767212,-0.005059,0.941089,0.946040,+0.004951,7.530301,7.495709,-0.034592,baseline,neutral,near neutral by AUC
