sequence,condition,degradation,severity,seed,baseline_auc,hpc_rgssb_auc,auc_change,baseline_precision_20,hpc_rgssb_precision_20,precision_20_change,baseline_mean_center_error,hpc_rgssb_mean_center_error,center_error_change,best_model,note
Walking,motion_blur_medium,motion_blur,medium,42,0.759276,0.787561,+0.028285,1.000000,1.000000,+0.000000,1.691248,1.787445,+0.096197,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Walking,low_resolution_medium,low_resolution,medium,42,0.788114,0.779751,-0.008363,1.000000,1.000000,+0.000000,1.604082,1.746493,+0.142411,baseline,OSTrack baseline has higher AUC
Walking,gaussian_noise_medium,gaussian_noise,medium,42,0.793449,0.788523,-0.004926,1.000000,1.000000,+0.000000,1.611455,1.707908,+0.096453,baseline,OSTrack baseline has higher AUC
Walking2,clean,clean,none,0,0.784772,0.821426,+0.036654,0.924000,1.000000,+0.076000,5.113229,1.667378,-3.445851,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Walking2,motion_blur_medium,motion_blur,medium,42,0.377287,0.445050,+0.067763,0.550000,0.614000,+0.064000,35.787457,31.939129,-3.848328,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Walking2,low_resolution_medium,low_resolution,medium,42,0.364673,0.819188,+0.454515,0.398000,1.000000,+0.602000,47.968578,1.876525,-46.092053,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Walking2,gaussian_noise_medium,gaussian_noise,medium,42,0.477089,0.739881,+0.262792,0.604000,0.938000,+0.334000,31.741293,5.633838,-26.107455,hpc_rgssb,HPC RG-SSB improves AUC over baseline
FaceOcc1,clean,clean,none,0,0.586478,0.598555,+0.012077,0.547085,0.567265,+0.020180,23.393078,23.751312,+0.358234,hpc_rgssb,HPC RG-SSB improves AUC over baseline
FaceOcc1,motion_blur_medium,motion_blur,medium,42,0.609943,0.630600,+0.020657,0.634529,0.671525,+0.036996,18.721224,19.050510,+0.329286,hpc_rgssb,HPC RG-SSB improves AUC over baseline
FaceOcc1,low_resolution_medium,low_resolution,medium,42,0.599476,0.612119,+0.012643,0.614350,0.591928,-0.022422,21.292782,21.719454,+0.426672,hpc_rgssb,HPC RG-SSB improves AUC over baseline
FaceOcc1,gaussian_noise_medium,gaussian_noise,medium,42,0.649680,0.660092,+0.010412,0.705157,0.746637,+0.041480,17.962036,16.899437,-1.062599,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Dog1,clean,clean,none,0,0.861188,0.862926,+0.001738,1.000000,1.000000,+0.000000,2.485723,2.420704,-0.065019,hpc_rgssb,HPC RG-SSB improves AUC over baseline
