benchmark,sequence,condition,baseline_auc,rgssb_auc,auc_change,baseline_precision_20,rgssb_precision_20,precision_change,baseline_mean_center_error,rgssb_mean_center_error,center_error_change,best_method,notes
NFS,nfs_cheetah,clean,0.697634,0.684058,-0.013576,0.011976,0.011976,+0.000000,84.933655,83.502937,-1.430718,OSTrack,RG-SSB near neutral
NFS,nfs_cheetah,motion_blur_medium,0.707773,0.676172,-0.031601,0.005988,0.011976,+0.005988,93.865623,89.306091,-4.559532,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_cheetah,low_resolution_medium,0.701785,0.297919,-0.403866,0.017964,0.005988,-0.011976,90.701317,225.233627,+134.532310,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_cheetah,gaussian_noise_medium,0.655896,0.646054,-0.009842,0.005988,0.011976,+0.005988,114.862274,116.882225,+2.019951,OSTrack,RG-SSB near neutral
NFS,nfs_horse_running,clean,0.150723,0.153786,+0.003063,0.007194,0.007194,+0.000000,215.121735,216.324051,+1.202316,RG-SSB,RG-SSB near neutral
NFS,nfs_horse_running,motion_blur_medium,0.150581,0.154854,+0.004273,0.007194,0.007194,+0.000000,213.865295,215.142487,+1.277192,RG-SSB,RG-SSB near neutral
NFS,nfs_horse_running,low_resolution_medium,0.145594,0.154427,+0.008833,0.007194,0.007194,+0.000000,217.436096,215.250626,-2.185470,RG-SSB,RG-SSB near neutral
NFS,nfs_horse_running,gaussian_noise_medium,0.318470,0.321105,+0.002635,0.014388,0.007194,-0.007194,142.423004,155.249374,+12.826370,RG-SSB,RG-SSB near neutral
NFS,nfs_motorcross,clean,0.325717,0.301346,-0.024371,0.051282,0.051282,+0.000000,199.006577,197.242462,-1.764115,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_motorcross,motion_blur_medium,0.325463,0.279259,-0.046204,0.051282,0.051282,+0.000000,202.248077,207.814774,+5.566697,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_motorcross,low_resolution_medium,0.337395,0.285352,-0.052043,0.051282,0.051282,+0.000000,191.738144,198.992538,+7.254394,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_motorcross,gaussian_noise_medium,0.312008,0.293729,-0.018279,0.051282,0.051282,+0.000000,205.039337,214.491669,+9.452332,OSTrack,RG-SSB near neutral
NFS,nfs_person_scooter,clean,0.363484,0.316808,-0.046676,0.002421,0.007264,+0.004843,178.560715,195.516953,+16.956238,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_person_scooter,motion_blur_medium,0.366504,0.313427,-0.053077,0.004843,0.012107,+0.007264,179.195938,221.563370,+42.367432,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_person_scooter,low_resolution_medium,0.375015,0.335243,-0.039772,0.004843,0.004843,+0.000000,175.754608,185.735474,+9.980866,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_person_scooter,gaussian_noise_medium,0.356747,0.318342,-0.038405,0.021792,0.002421,-0.019371,171.702026,170.551758,-1.150268,OSTrack,OSTrack baseline higher by AUC
NFS,nfs_soccer_player_2,clean,0.314893,0.330693,+0.015800,0.010526,0.014737,+0.004211,318.439545,287.554565,-30.884980,RG-SSB,RG-SSB near neutral
NFS,nfs_soccer_player_2,motion_blur_medium,0.309349,0.313434,+0.004085,0.012632,0.014737,+0.002105,315.911041,293.118011,-22.793030,RG-SSB,RG-SSB near neutral
NFS,nfs_soccer_player_2,low_resolution_medium,0.313330,0.329151,+0.015821,0.010526,0.018947,+0.008421,316.677521,283.736206,-32.941315,RG-SSB,RG-SSB near neutral
NFS,nfs_soccer_player_2,gaussian_noise_medium,0.355414,0.382533,+0.027119,0.006316,0.008421,+0.002105,255.339508,254.497223,-0.842285,RG-SSB,RG-SSB improves AUC
