benchmark,sequence,condition,baseline_auc,rgssb_auc,auc_change,baseline_precision_20,rgssb_precision_20,precision_change,baseline_mean_center_error,rgssb_mean_center_error,center_error_change,best_method,notes
OTB,Dog1,motion_blur_medium,0.834389,0.857653,+0.023264,1.000000,1.000000,+0.000000,2.350212,2.076440,-0.273772,RG-SSB,RG-SSB improves AUC
OTB,Dog1,low_resolution_medium,0.874939,0.871067,-0.003872,1.000000,1.000000,+0.000000,1.921853,1.949097,+0.027244,OSTrack,RG-SSB near neutral
OTB,Dog1,gaussian_noise_medium,0.860961,0.856414,-0.004547,1.000000,1.000000,+0.000000,2.756150,2.647410,-0.108740,OSTrack,RG-SSB near neutral
OTB,Deer,clean,0.271231,0.424348,+0.153117,0.366197,0.661972,+0.295775,73.172089,41.307079,-31.865010,RG-SSB,RG-SSB improves AUC
OTB,Deer,motion_blur_medium,0.208339,0.435504,+0.227165,0.281690,0.647887,+0.366197,103.399780,41.490910,-61.908870,RG-SSB,RG-SSB improves AUC
OTB,Deer,low_resolution_medium,0.267187,0.438433,+0.171246,0.338028,0.704225,+0.366197,73.623421,40.147202,-33.476219,RG-SSB,RG-SSB improves AUC
OTB,Deer,gaussian_noise_medium,0.513457,0.522242,+0.008785,0.746479,0.746479,+0.000000,37.269794,34.893517,-2.376277,RG-SSB,RG-SSB near neutral
OTB,Football,clean,0.138997,0.138395,-0.000602,0.165746,0.165746,+0.000000,219.098862,225.620789,+6.521927,OSTrack,RG-SSB near neutral
OTB,Football,motion_blur_medium,0.324955,0.491685,+0.166730,0.497238,0.740331,+0.243093,58.251381,20.236773,-38.014608,RG-SSB,RG-SSB improves AUC
OTB,Football,low_resolution_medium,0.144412,0.143728,-0.000684,0.171271,0.165746,-0.005525,222.232132,229.409225,+7.177093,OSTrack,RG-SSB near neutral
OTB,Football,gaussian_noise_medium,0.265850,0.271730,+0.005880,0.356354,0.364641,+0.008287,117.728493,117.510918,-0.217575,RG-SSB,RG-SSB near neutral
OTB,BlurBody,clean,0.835240,0.802632,-0.032608,0.976048,0.973054,-0.002994,6.491373,6.529775,+0.038402,OSTrack,OSTrack baseline higher by AUC
OTB,BlurBody,motion_blur_medium,0.846446,0.817395,-0.029051,0.985030,0.982036,-0.002994,5.823728,6.200110,+0.376382,OSTrack,OSTrack baseline higher by AUC
OTB,BlurBody,low_resolution_medium,0.840932,0.813097,-0.027835,0.982036,0.982036,+0.000000,6.127126,6.212456,+0.085330,OSTrack,OSTrack baseline higher by AUC
