sequence,condition,degradation,severity,seed,baseline_auc,hpc_rgssb_auc,auc_change,baseline_precision_20,hpc_rgssb_precision_20,precision_20_change,baseline_center_error,hpc_rgssb_center_error,center_error_change,best_model,outcome,note
nfs_basketball_1,gaussian_noise_medium,gaussian_noise,medium,42,0.122428,0.123692,0.001264,0.007092,0.007092,0.000000,342.708527,356.751221,14.042694,hpc_rgssb,neutral,Near neutral by AUC
nfs_biker_acrobat,clean,clean,none,0,0.347153,0.320390,-0.026763,0.023438,0.007812,-0.015626,235.462311,219.773270,-15.689041,baseline,drop,OSTrack remains clearly better by AUC
nfs_biker_acrobat,motion_blur_medium,motion_blur,medium,42,0.336324,0.261061,-0.075263,0.015625,0.007812,-0.007813,217.820145,229.106323,11.286178,baseline,drop,OSTrack remains clearly better by AUC
nfs_biker_acrobat,low_resolution_medium,low_resolution,medium,42,0.348855,0.284731,-0.064124,0.023438,0.007812,-0.015626,228.884247,230.334137,1.449890,baseline,drop,OSTrack remains clearly better by AUC
nfs_biker_acrobat,gaussian_noise_medium,gaussian_noise,medium,42,0.367342,0.358988,-0.008354,0.007812,0.007812,0.000000,244.837463,231.964081,-12.873382,baseline,neutral,Near neutral by AUC
nfs_biker_all_1,clean,clean,none,0,0.149566,0.127661,-0.021905,0.017699,0.017699,0.000000,207.247513,262.465515,55.218002,baseline,drop,OSTrack remains clearly better by AUC
nfs_biker_all_1,motion_blur_medium,motion_blur,medium,42,0.124507,0.121879,-0.002628,0.017699,0.017699,0.000000,253.901337,287.473572,33.572235,baseline,neutral,Near neutral by AUC
nfs_biker_all_1,low_resolution_medium,low_resolution,medium,42,0.125559,0.125559,0.000000,0.017699,0.017699,0.000000,254.850357,272.099548,17.249191,tie,neutral,Near neutral by AUC
nfs_biker_all_1,gaussian_noise_medium,gaussian_noise,medium,42,0.128800,0.117848,-0.010952,0.017699,0.017699,0.000000,277.518829,328.218262,50.699433,baseline,neutral,Near neutral by AUC
nfs_biker_whole_body,clean,clean,none,0,0.182718,0.165963,-0.016755,0.003497,0.003497,0.000000,292.654297,292.766510,0.112213,baseline,neutral,Near neutral by AUC
nfs_biker_whole_body,motion_blur_medium,motion_blur,medium,42,0.189625,0.182182,-0.007443,0.003497,0.003497,0.000000,290.268097,289.075165,-1.192932,baseline,neutral,Near neutral by AUC
nfs_biker_whole_body,low_resolution_medium,low_resolution,medium,42,0.185799,0.168334,-0.017465,0.003497,0.003497,0.000000,291.154999,292.379547,1.224548,baseline,neutral,Near neutral by AUC
nfs_biker_whole_body,gaussian_noise_medium,gaussian_noise,medium,42,0.203905,0.200703,-0.003202,0.001748,0.001748,0.000000,293.699310,292.787262,-0.912048,baseline,neutral,Near neutral by AUC
nfs_bowling_1,clean,clean,none,0,0.186877,0.181551,-0.005326,0.122112,0.052805,-0.069307,155.230743,169.797928,14.567185,baseline,neutral,Near neutral by AUC
nfs_bowling_1,motion_blur_medium,motion_blur,medium,42,0.176355,0.174754,-0.001601,0.072607,0.033003,-0.039604,182.545029,195.400848,12.855819,baseline,neutral,Near neutral by AUC
nfs_bowling_1,low_resolution_medium,low_resolution,medium,42,0.186648,0.180930,-0.005718,0.099010,0.036304,-0.062706,160.515579,174.976944,14.461365,baseline,neutral,Near neutral by AUC
nfs_bowling_1,gaussian_noise_medium,gaussian_noise,medium,42,0.174917,0.171094,-0.003823,0.231023,0.066007,-0.165016,112.142120,153.714722,41.572602,baseline,neutral,Near neutral by AUC
nfs_car_camaro,clean,clean,none,0,0.446920,0.372937,-0.073983,0.027778,0.055556,0.027778,293.521057,387.684875,94.163818,baseline,drop,OSTrack remains clearly better by AUC
nfs_car_camaro,motion_blur_medium,motion_blur,medium,42,0.432068,0.353135,-0.078933,0.083333,0.055556,-0.027777,303.796600,398.849243,95.052643,baseline,drop,OSTrack remains clearly better by AUC
nfs_car_camaro,low_resolution_medium,low_resolution,medium,42,0.455171,0.374312,-0.080859,0.027778,0.055556,0.027778,289.946442,388.717651,98.771209,baseline,drop,OSTrack remains clearly better by AUC
nfs_car_camaro,gaussian_noise_medium,gaussian_noise,medium,42,0.366612,0.312431,-0.054181,0.055556,0.055556,0.000000,440.705902,466.824280,26.118378,baseline,drop,OSTrack remains clearly better by AUC
nfs_car_rc_rolling,clean,clean,none,0,0.085755,0.078889,-0.006866,0.016129,0.016129,0.000000,661.090454,643.271729,-17.818725,baseline,neutral,Near neutral by AUC
nfs_car_rc_rolling,motion_blur_medium,motion_blur,medium,42,0.085117,0.068668,-0.016449,0.016129,0.016129,0.000000,672.686646,512.234558,-160.452088,baseline,neutral,Near neutral by AUC
nfs_car_rc_rolling,low_resolution_medium,low_resolution,medium,42,0.084158,0.086873,0.002715,0.016129,0.016129,0.000000,677.311829,625.457642,-51.854187,hpc_rgssb,neutral,Near neutral by AUC
nfs_car_rc_rolling,gaussian_noise_medium,gaussian_noise,medium,42,0.085915,0.061961,-0.023954,0.016129,0.016129,0.000000,671.022400,629.902588,-41.119812,baseline,drop,OSTrack remains clearly better by AUC
nfs_car_side,clean,clean,none,0,0.177484,0.185185,0.007701,0.009259,0.018519,0.009260,574.024902,548.172180,-25.852722,hpc_rgssb,neutral,Near neutral by AUC
nfs_car_side,motion_blur_medium,motion_blur,medium,42,0.182985,0.181335,-0.001650,0.009259,0.009259,0.000000,561.128784,556.372986,-4.755798,baseline,neutral,Near neutral by AUC
nfs_car_side,low_resolution_medium,low_resolution,medium,42,0.182618,0.188119,0.005501,0.009259,0.009259,0.000000,561.851440,539.217651,-22.633789,hpc_rgssb,neutral,Near neutral by AUC
nfs_car_side,gaussian_noise_medium,gaussian_noise,medium,42,0.175101,0.221672,0.046571,0.009259,0.009259,0.000000,548.672302,486.409760,-62.262542,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_dog_1,clean,clean,none,0,0.349717,0.389675,0.039958,0.005952,0.011905,0.005953,281.015686,247.049622,-33.966064,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_dog_1,motion_blur_medium,motion_blur,medium,42,0.364745,0.385608,0.020863,0.011905,0.017857,0.005952,275.137054,249.092987,-26.044067,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_dog_1,low_resolution_medium,low_resolution,medium,42,0.349540,0.385608,0.036068,0.005952,0.011905,0.005953,278.621521,250.795059,-27.826462,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_dog_1,gaussian_noise_medium,gaussian_noise,medium,42,0.335514,0.347006,0.011492,0.005952,0.017857,0.011905,265.391083,265.605225,0.214142,hpc_rgssb,neutral,Near neutral by AUC
nfs_drone,clean,clean,none,0,0.246959,0.314710,0.067751,0.028571,0.028571,0.000000,262.867706,299.655334,36.787628,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_drone,motion_blur_medium,motion_blur,medium,42,0.248939,0.335502,0.086563,0.042857,0.014286,-0.028571,254.556107,292.108704,37.552597,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_drone,low_resolution_medium,low_resolution,medium,42,0.239887,0.310891,0.071004,0.028571,0.014286,-0.014285,264.676392,310.616028,45.939636,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_drone,gaussian_noise_medium,gaussian_noise,medium,42,0.246110,0.274399,0.028289,0.028571,0.028571,0.000000,304.069458,329.276459,25.207001,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_footbal_skill,clean,clean,none,0,0.093115,0.091301,-0.001814,0.007634,0.007634,0.000000,382.954132,380.921570,-2.032562,baseline,neutral,Near neutral by AUC
nfs_footbal_skill,motion_blur_medium,motion_blur,medium,42,0.089184,0.087446,-0.001738,0.015267,0.015267,0.000000,384.187134,380.204681,-3.982453,baseline,neutral,Near neutral by AUC
nfs_footbal_skill,low_resolution_medium,low_resolution,medium,42,0.092737,0.092434,-0.000303,0.007634,0.007634,0.000000,383.629425,381.195801,-2.433624,baseline,neutral,Near neutral by AUC
nfs_footbal_skill,gaussian_noise_medium,gaussian_noise,medium,42,0.090998,0.090998,0.000000,0.007634,0.007634,0.000000,381.469696,378.402863,-3.066833,tie,neutral,Near neutral by AUC
nfs_helicopter,clean,clean,none,0,0.069211,0.100383,0.031172,0.003226,0.003226,0.000000,613.360413,565.358521,-48.001892,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_helicopter,motion_blur_medium,motion_blur,medium,42,0.067486,0.087225,0.019739,0.016129,0.006452,-0.009677,614.440552,578.943726,-35.496826,hpc_rgssb,neutral,Near neutral by AUC
nfs_helicopter,low_resolution_medium,low_resolution,medium,42,0.057011,0.090802,0.033791,0.006452,0.006452,0.000000,619.572510,577.129272,-42.443238,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_helicopter,gaussian_noise_medium,gaussian_noise,medium,42,0.068061,0.062887,-0.005174,0.009677,0.009677,0.000000,597.392944,595.546692,-1.846252,baseline,neutral,Near neutral by AUC
nfs_parkour,clean,clean,none,0,0.289177,0.235063,-0.054114,0.017241,0.017241,0.000000,204.413773,252.342987,47.929214,baseline,drop,OSTrack remains clearly better by AUC
nfs_parkour,motion_blur_medium,motion_blur,medium,42,0.099351,0.198020,0.098669,0.017241,0.017241,0.000000,477.499420,305.127655,-172.371765,hpc_rgssb,gain,RG-SSB improves clearly by AUC
nfs_parkour,low_resolution_medium,low_resolution,medium,42,0.236258,0.165756,-0.070502,0.017241,0.017241,0.000000,283.360443,468.992157,185.631714,baseline,drop,OSTrack remains clearly better by AUC
nfs_parkour,gaussian_noise_medium,gaussian_noise,medium,42,0.043018,0.051383,0.008365,0.017241,0.017241,0.000000,349.428741,695.746277,346.317536,hpc_rgssb,neutral,Near neutral by AUC
nfs_running_100_m,clean,clean,none,0,0.286275,0.265239,-0.021036,0.006390,0.003195,-0.003195,435.047363,481.282257,46.234894,baseline,drop,OSTrack remains clearly better by AUC
nfs_running_100_m,motion_blur_medium,motion_blur,medium,42,0.266251,0.192516,-0.073735,0.009585,0.006390,-0.003195,478.817383,560.079285,81.261902,baseline,drop,OSTrack remains clearly better by AUC
nfs_running_100_m,low_resolution_medium,low_resolution,medium,42,0.270332,0.226078,-0.044254,0.003195,0.003195,0.000000,427.809601,520.402344,92.592743,baseline,drop,OSTrack remains clearly better by AUC
nfs_running_100_m,gaussian_noise_medium,gaussian_noise,medium,42,0.266916,0.274381,0.007465,0.031949,0.063898,0.031949,416.534302,409.136597,-7.397705,hpc_rgssb,neutral,Near neutral by AUC
nfs_soccer_ball_2,clean,clean,none,0,0.295084,0.266559,-0.028525,0.018097,0.029473,0.011376,186.527603,183.619278,-2.908325,baseline,drop,OSTrack remains clearly better by AUC
nfs_soccer_ball_2,motion_blur_medium,motion_blur,medium,42,0.280642,0.253735,-0.026907,0.033092,0.042399,0.009307,191.715134,186.199387,-5.515747,baseline,drop,OSTrack remains clearly better by AUC
nfs_soccer_ball_2,low_resolution_medium,low_resolution,medium,42,0.288368,0.261035,-0.027333,0.024819,0.037229,0.012410,188.444092,183.510056,-4.934036,baseline,drop,OSTrack remains clearly better by AUC
nfs_soccer_ball_2,gaussian_noise_medium,gaussian_noise,medium,42,0.241648,0.235371,-0.006277,0.022234,0.010858,-0.011376,203.629379,207.922821,4.293442,baseline,neutral,Near neutral by AUC
nfs_tiger,clean,clean,none,0,0.376454,0.353941,-0.022513,0.116324,0.115039,-0.001285,384.777924,408.691071,23.913147,baseline,drop,OSTrack remains clearly better by AUC
nfs_tiger,motion_blur_medium,motion_blur,medium,42,0.408161,0.370918,-0.037243,0.106684,0.089332,-0.017352,369.428345,398.356934,28.928589,baseline,drop,OSTrack remains clearly better by AUC
nfs_tiger,low_resolution_medium,low_resolution,medium,42,0.377930,0.357186,-0.020744,0.116967,0.112468,-0.004499,384.670319,406.294739,21.624420,baseline,drop,OSTrack remains clearly better by AUC
nfs_tiger,gaussian_noise_medium,gaussian_noise,medium,42,0.329246,0.322247,-0.006999,0.111183,0.110540,-0.000643,413.735687,429.261810,15.526123,baseline,neutral,Near neutral by AUC
